Date,Hospital,Region,Trolley,Ward,Patients
2019-11-28,Mullingar,Leinster,8,0,8
2019-11-28,Portlaoise,Leinster,1,0,1
2019-11-28,Tullamore,Leinster,4,0,4
2019-11-28,Nenagh,Munster,7,0,7
2019-11-28,Drogheda,Leinster,7,0,7
2019-11-28,Navan,Leinster,2,1,3
2019-11-28,Portiuncula,Connacht,1,0,1
2019-11-28,Sligo,Connacht,7,10,17
2019-11-28,South Tipperary,Munster,17,8,25
2019-11-28,Kilkenny,Leinster,8,13,21
2019-11-28,Galway,Connacht,27,12,39
2019-11-28,Kerry,Munster,17,0,17
2019-11-28,Waterford,Munster,24,8,32
2019-11-28,Limerick,Munster,30,27,57
2019-11-28,Wexford,Leinster,4,0,4
2019-11-29,Beaumont,Dublin,7,11,18
2019-11-29,Temple St,Dublin,4,0,4
2019-11-29,Blanchardstown,Dublin,5,6,11
2019-11-29,Mater,Dublin,26,0,26
2019-11-29,Naas,Leinster,10,2,12
2019-11-29,NCH Tallaght,Dublin,7,0,7
2019-11-29,Crumlin,Dublin,16,0,16
2019-11-29,James,Dublin,13,0,13
2019-11-29,Vincents,Dublin,19,0,19
2019-11-29,Tallaght UH,Dublin,14,5,19
2019-11-29,Bantry,Munster,0,5,5
2019-11-29,Cavan,Ulster,3,3,6
2019-11-29,Cork UH,Munster,39,16,55
2019-11-29,Letterkenny,Ulster,10,15,25
2019-11-29,Mayo,Connacht,7,12,19
2019-11-29,Mercy Cork,Munster,18,0,18
2019-11-29,Ennis,Munster,0,0,0
2019-11-29,Mullingar,Leinster,3,0,3
2019-11-29,Portlaoise,Leinster,3,0,3
2019-11-29,Tullamore,Leinster,11,0,11
2019-11-29,Nenagh,Munster,0,2,2
2019-11-29,Drogheda,Leinster,7,0,7
2019-11-29,Navan,Leinster,3,0,3
2019-11-29,Portiuncula,Connacht,1,0,1
2019-11-29,Sligo,Connacht,16,7,23
2019-11-29,South Tipperary,Munster,21,11,32
2019-11-29,Kilkenny,Leinster,8,12,20
2019-11-29,Galway,Connacht,31,10,41
2019-11-29,Kerry,Munster,10,0,10
2019-11-29,Waterford,Munster,19,7,26
2019-11-29,Limerick,Munster,31,33,64
2019-11-29,Wexford,Leinster,3,0,3
